"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Tapirus terrestris",-58.661976,-15.289297,24.7621459960938,13.1039161682129,70.2924423217773,145.81721496582,32.5327491760254,13.8907499313354,18.6419982910156,25.7292079925537,22.703332901001,26.058292388916,22.6670417785645,1592,282,17,71.6263046264648,755,74,537,101
"Tapirus terrestris",-76.781022,0.878628,22.4385318756104,9.1373119354248,89.8060150146484,31.0059337615967,27.4685001373291,17.2940006256104,10.1744995117188,22.0111656188965,22.6925411224365,22.7261238098145,22.003999710083,3883,447,238,22.1010131835938,1277,760,800,1165
"Tapirus terrestris",-56.905958,-13.593556,24.1812610626221,13.4778127670288,77.2245788574219,80.8457489013672,31.5762500762939,14.1234998703003,17.452751159668,24.7212905883789,23.1293754577637,24.9540004730225,23.1293754577637,1968,327,4,78.7764358520508,957,42,771,42
"Tapirus terrestris",-45.882864,-14.722908,22.4832916259766,12.3812084197998,70.9047393798828,117.29443359375,30.3554992675781,12.8937501907349,17.4617500305176,23.0119590759277,20.8456249237061,23.5641250610352,20.8344573974609,1477,313,2,91.0801239013672,808,14,393,30
"Tapirus terrestris",-56.882114,-20.453445,23.8068447113037,11.1813545227051,62.3342056274414,249.831802368164,31.7032508850098,13.7655000686646,17.9377517700195,26.255542755127,20.4886245727539,26.255542755127,20.4451656341553,1246,187,34,49.4837188720703,510,124,510,171
"Tapirus terrestris",-77.544407,-1.003656,23.8135414123535,9.4600830078125,88.416130065918,44.6094741821289,29.2617492675781,18.5622501373291,10.699499130249,23.4860420227051,24.1420822143555,24.2112503051758,23.1496257781982,4261,480,248,20.7403697967529,1342,792,958,1217
"Tapirus terrestris",-72.22441,3.436779,27.023624420166,9.53891658782959,71.3456802368164,112.765579223633,34.9449996948242,21.5750007629395,13.3699989318848,25.6927089691162,28.0815830230713,28.6225833892822,25.6927089691162,2663,396,13,58.2698860168457,1085,170,191,1085
"Tapirus terrestris",-72.340772,3.442354,27.0713233947754,9.34556198120117,71.3034286499023,111.748275756836,34.8115005493164,21.7047500610352,13.1067504882812,26.1623344421387,28.117166519165,28.6563758850098,25.7507495880127,2623,396,15,59.2722473144531,1068,131,176,1038
"Tapirus terrestris",-77.297146,-1.396439,24.283561706543,9.47525024414062,87.6283264160156,48.1850395202637,29.7609996795654,18.9479999542236,10.8129997253418,23.9781246185303,24.6649169921875,24.736083984375,23.5666255950928,4072,453,247,18.744197845459,1245,774,937,1150
"Tapirus terrestris",-73.6161,1.70081,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-73.534806,1.725778,25.9572925567627,9.29262542724609,76.4714889526367,76.6111145019531,32.3095016479492,20.157751083374,12.1517505645752,25.2954998016357,26.6442909240723,26.9169998168945,24.9217510223389,2417,316,38,47.0820274353027,904,203,251,855
"Tapirus terrestris",-56.793062,-19.082714,25.6987400054932,11.4800624847412,63.2667198181152,237.616638183594,33.6529998779297,15.5074996948242,18.1455001831055,27.7951259613037,22.4364166259766,27.8718757629395,22.4364166259766,1240,214,29,60.8145179748535,556,93,537,93
"Tapirus terrestris",-76.98276,-2.416246,25.2785205841064,9.79612445831299,88.1045532226562,44.5861549377441,30.8267498016357,19.7080001831055,11.1187496185303,25.0442085266113,25.6796245574951,25.689582824707,24.6218338012695,3176,343,211,15.6720838546753,942,658,687,854
"Tapirus terrestris",-54.934711,-12.275832,24.5231456756592,13.3980827331543,72.2784957885742,79.1096496582031,32.900749206543,14.3640003204346,18.5367488861084,24.847541809082,23.3892078399658,25.095458984375,23.3892078399658,1781,314,1,86.1307907104492,915,14,698,14
"Tapirus terrestris",-52.182544,-22.729852,21.7933025360107,12.3128128051758,63.6954727172852,264.070770263672,30.3897495269775,11.0590000152588,19.3307495117188,24.6103744506836,19.7100830078125,24.6103744506836,18.1765823364258,1229,162,45,39.8655815124512,441,162,441,220
"Tapirus terrestris",-52.06635,-22.620917,22.3970203399658,12.0994997024536,64.0761566162109,260.320251464844,30.7029991149902,11.8199996948242,18.882999420166,25.1111660003662,20.3473339080811,25.1111660003662,18.80637550354,1192,167,42,43.2156143188477,447,145,447,199
